"",0001.zip

"","1. 찾은 자료 내에 있는 그림이나 표의 자료내 위치(쪽번호)와 표와 그림을 설명하는 캡션(주석)을 적습니다.
2. 표와 그림의 캡션이 없는 경우, 본문의 내용을 보고 간단히 설명을 적오주세요."
제목(반드시 요약문 양식에 입력한 제목과 같아야 함.),표/그림 일련번호,"자료유형(표,그림,…)",자료에 나온 표나 그림 설명(캡션),자료가 나온 쪽번호
북한의 보건의료와 여성건강상태에 관한 고찰,figure 1,그림,North Korean's Health Care System,p. 46
"EU의 SAPARD를 원용한 북한의 농업,농촌개발",그림 1,그림,북한 농촌의 실태,p. 11
"",그림 2,그림,북한 농업〮농촌개발 지원의 필요성,p. 14
"",표 1,표,SAPARD 프로그램의 시책별〮국가별 내용,p. 18
"",표 2,표,북한체제의 특수성,p. 25
"",표 3,표,북한 농업〮농촌개발의 기본방향,p .28
"",표 4,표,북한 농업〮농촌지원프로그램(안) : 생산 분야,p. 29-30
"",표 5,표,북한 농업〮농촌지원프로그램(안) : 유통가공 분야,p. 30
"",표 6,표,북한 농업〮농촌지원프로그램(안) : 농촌개발 분야,p. 31
"",표 7,표,북한 농업〮농촌지원프로그램(안) : 농외소득원개발 분야,p. 32
"",표 8,표,북한 농업〮농촌지원프로그램(안) : 교육 및 조직화 분야,p. 33
북한 탄소시장 잠재력 추정 연구 -에너지 부문을 중심으로-,표 2-1,표,국제 탄소배출권 시장 규모,p. 4
"",표 2-2,표,북미 탄소시장 현황,p. 4
"",표 2-3,표,국내 CDM사업 현황(2010년 2월 기준),p. 6
"",표 2-4,표,중국 CDM사업 국가 비중(2007년 기준),p. 9
"",표 2-5,표,대안별 북한의 CDM잠재력,p. 10
"",표 2-6,표,CER 가격 상승에 따른 CER사업의 (내부)수익률,p. 12
"",표 3-1,표,북한의 부문별 국내총생산(실질; 2005년 기준),p. 16
"",표 3-2,표,북한의 국내총생산에서 각 산업이 차지하는 비중,p. 17
"",표 3-3,표,북한의 1인당 GNI,p. 18
"",표 3-4,표,북한의 연료별 에너지 사용량,p. 19
"",표 3-5,표,북한의 부문별 전력 사용량,p. 19
"",표 3-6,표,북한의 에너지 사용량 대비 전력 사용량,p. 20
"",표 3-7,표,"연료별 에너지 사용량과 산업별 생산량, 인구의 상관계수",p. 21
"",표 3-8,표,"북한의 산업별 생산액 전망치(고성장, 중성장, 저성장 시나리오별)",p. 22
"",표 3-9,표,연료별 에너지 수요 전망,p. 23
"",표 3-10,표,탄소배출계수,p. 25
"",표 3-11,표,"통계청 「북한통계」 자료를 이용한 북한의 에너지 부문 온실가스 배출량 추정 · ",p. 26
"",표 3-12,표,KEEI의 1차 에너지 전망치를 이용한 북한의 에너지 부문 온실가스 배출량 추정,p. 27
"",표 3-13,표,북한 전력 부문 수급 전망,p. 28
"",표 3-14,표,우리나라 발전 연료 투입량과 전기 생산 시 손실량,p.28
"",표 3-15,표,전기 손실 효율 개선 시 온실가스 저감량,p. 29
"",표 3-16,표,LNG 또는 LPG로 석탄 대체 시 온실가스 저감량,p. 30
"",표 3-17,표,분야별 대북 무상지원 현황,p. 31
"",표 3-18,표,대북지원금액,p. 31
"",표 3-19,표,북한의 CDM사업 투자 SWOT분석,p. 32
"",그림 2-1,그림,CDM사업 절차,p. 3
"",그림 2-2,그림,2008-2009 탄소 가격(유럽 거래 가격),p. 5
"",그림 3-1,그림,북한의 국내총생산 변화 추이,p. 15
"",그림 3-2,그림,북한 추계인구,p. 17
북한의 농업ㆍ식량 사정과 대응 방향,그림 1,그림,북한의 농정 목표와 전략,p. 19
"",표 1,표,남북농업협력에 대한 당국 간 합의사항,p. 20
"",표 2,표,2000년대 북한의 식량수급,p. 21
"",표 3,표,북한의 비료 조달 상황 (2008~2011년),p. 23
"",표 4,표,북한의 식량수급 추정 (2011/12년),p. 24
"",그림 2,그림,평양의 시장 쌀 가격 동향 (2009.8 - 2012.5),p. 25
"",표 5,표,2011/12년 취약계층 식량지원 필요량,p. 26
"",표 6,표,미국의 다양한 식량원조 프로그램,p. 28
"",표 7,표,2005년 이후 WFP의 대북 식량원조협약 사례,p. 29

"",0002.zip

"","1. 찾은 자료 내에 있는 그림이나 표의 자료내 위치(쪽번호)와 표와 그림을 설명하는 캡션(주석)을 적습니다.
2. 표와 그림의 캡션이 없는 경우, 본문의 내용을 보고 간단히 설명을 적오주세요."
제목(반드시 요약문 양식에 입력한 제목과 같아야 함.),표/그림 일련번호,"자료유형(표,그림,…)",자료에 나온 표나 그림 설명(캡션),자료가 나온 쪽번호
북한의 전력증산정책과 과제,<표 1>,표,"북한의 화력발전 설비 규모, 연료원 및 소재지",6.0
북한의 전력증산정책과 과제,<표 2>,표,북한의 국가과학기발전 5개년계획,8.0
북한의 전력증산정책과 과제,<표 3>,표,북한의 전력증산정책 수단,8.0
북한의 전력증산정책과 과제,<표 4>,표,2000년 이후 증설된 북한의 주요 중대형 수력발전 현황,10.0
북한의 전력증산정책과 과제,<표 5>,표,북한의 주요 태양광 설비,12.0
북한의 최근 에너지 동향과 재생에너지 확대 움직임,그림,글,자연에네르기 중장기 개발계획,웹페이지
